id,source_website,source_label,source_url,geo_validation,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000038,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050#review-5,birdeye_us_profile,David Schmucker,2026-03-03,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000039,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-3,birdeye_us_profile,Denis Carvalho,2026-03-03,,negative,"Fees for either buyer and sellers are insanely high, and undisclosed when even asked if you are a seller.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000040,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-4,birdeye_us_profile,Bob Richy sucks,2026-03-03,,negative,Do not by from this place they will knowing stick you with a bad car. Nobody knows what they are doing. Arbitration is a joke they will spend days looking at a car to tell you nope you own it .They have a machinic from herb chambers using 'parts cleaner' to spray off oil leaks to make the vehicles look as if they have no leaks. Put what you buy in post sale ? Dont bother if its bad they will send it to you no matter what or not even put it in the building and charge the customers anyways the little guy running the place shou... read more,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000060,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050#review-5,birdeye_us_profile,David Schmucker,2026-02-26,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000061,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-4,birdeye_us_profile,Bob Richy sucks,2026-02-26,,negative,Do not by from this place they will knowing stick you with a bad car. Nobody knows what they are doing. Arbitration is a joke they will spend days looking at a car to tell you nope you own it .They have a machinic from herb chambers using 'parts cleaner' to spray off oil leaks to make the vehicles look as if they have no leaks. Put what you buy in post sale ? Dont bother if its bad they will send it to you no matter what or not even put it in the building and charge the customers anyways the little guy running the place shou... read more,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000026,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050#review-3,birdeye_us_profile,David Schmucker,2026-02-25,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000027,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-3,birdeye_us_profile,Nadeem Akbar Khan,2026-02-25,,positive,"Miss Olivia is the best!!!!! Always there to help very humble!!! America’s Auto Auction is a great place to do business! Very organized, professional staff, and the process is always smooth. The team is helpful, communication is clear, and they make buying and selling vehicles easy. Inventory selection is solid and transactions are handled efficiently. Highly recommend for any dealers looking for a reliable auction! Love New Age Auto Sales.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000028,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-4,birdeye_us_profile,Erick Respert,2026-02-25,,positive,Very clean and organized auction! Great experience! The team is very helpful as well..,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000029,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-2,birdeye_us_profile,Denis Carvalho,2026-02-25,,negative,"Fees for either buyer and sellers are insanely high, and undisclosed when even asked if you are a seller.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000030,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-3,birdeye_us_profile,Bob Richy sucks,2026-02-25,,negative,Do not by from this place they will knowing stick you with a bad car. Nobody knows what they are doing. Arbitration is a joke they will spend days looking at a car to tell you nope you own it .They have a machinic from herb chambers using 'parts cleaner' to spray off oil leaks to make the vehicles look as if they have no leaks. Put what you buy in post sale ? Dont bother if its bad they will send it to you no matter what or not even put it in the building and charge the customers anyways the little guy running the place shou... read more,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000005,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050#review-3,birdeye_us_profile,David Schmucker,2026-02-16,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000006,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050?page=2#review-3,birdeye_us_profile,David Schmucker,2026-02-16,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000007,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-3,birdeye_us_profile,Nadeem Akbar Khan,2026-02-16,,positive,"Miss Olivia is the best!!!!! Always there to help very humble!!! America’s Auto Auction is a great place to do business! Very organized, professional staff, and the process is always smooth. The team is helpful, communication is clear, and they make buying and selling vehicles easy. Inventory selection is solid and transactions are handled efficiently. Highly recommend for any dealers looking for a reliable auction! Love New Age Auto Sales.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000008,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-4,birdeye_us_profile,Erick Respert,2026-02-16,,positive,Very clean and organized auction! Great experience! The team is very helpful as well..,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000009,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278?page=2#review-3,birdeye_us_profile,Nadeem Akbar Khan,2026-02-16,,positive,"Miss Olivia is the best!!!!! Always there to help very humble!!! America’s Auto Auction is a great place to do business! Very organized, professional staff, and the process is always smooth. The team is helpful, communication is clear, and they make buying and selling vehicles easy. Inventory selection is solid and transactions are handled efficiently. Highly recommend for any dealers looking for a reliable auction! Love New Age Auto Sales.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000010,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278?page=2#review-4,birdeye_us_profile,Erick Respert,2026-02-16,,positive,Very clean and organized auction! Great experience! The team is very helpful as well..,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000011,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-3,birdeye_us_profile,Bob Richy sucks,2026-02-16,,negative,Do not by from this place they will knowing stick you with a bad car. Nobody knows what they are doing. Arbitration is a joke they will spend days looking at a car to tell you nope you own it .They have a machinic from herb chambers using 'parts cleaner' to spray off oil leaks to make the vehicles look as if they have no leaks. Put what you buy in post sale ? Dont bother if its bad they will send it to you no matter what or not even put it in the building and charge the customers anyways the little guy running the place shou... read more,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000012,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477?page=2#review-3,birdeye_us_profile,Bob Richy sucks,2026-02-16,,negative,Do not by from this place they will knowing stick you with a bad car. Nobody knows what they are doing. Arbitration is a joke they will spend days looking at a car to tell you nope you own it .They have a machinic from herb chambers using 'parts cleaner' to spray off oil leaks to make the vehicles look as if they have no leaks. Put what you buy in post sale ? Dont bother if its bad they will send it to you no matter what or not even put it in the building and charge the customers anyways the little guy running the place shou... read more,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000050,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050#review-5,birdeye_us_profile,David Schmucker,2026-02-14,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000051,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-4,birdeye_us_profile,Bob Richy sucks,2026-02-14,,negative,Do not by from this place they will knowing stick you with a bad car. Nobody knows what they are doing. Arbitration is a joke they will spend days looking at a car to tell you nope you own it .They have a machinic from herb chambers using 'parts cleaner' to spray off oil leaks to make the vehicles look as if they have no leaks. Put what you buy in post sale ? Dont bother if its bad they will send it to you no matter what or not even put it in the building and charge the customers anyways the little guy running the place shou... read more,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000052,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-4,birdeye_us_profile,BOBBY STONE v.c.,2026-02-14,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000073,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-4,birdeye_us_profile,BOBBY STONE v.c.,2026-02-02,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000041,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-2,birdeye_us_profile,BOBBY STONE v.c.,2026-02-01,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000062,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-4,birdeye_us_profile,BOBBY STONE v.c.,2026-01-27,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000031,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-2,birdeye_us_profile,BOBBY STONE v.c.,2026-01-26,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000013,bbb.org,BBB Complaints,https://www.bbb.org/us/il/centreville/profile/auto-auction/americas-auto-auction-0734-310446804/complaints#0734_310446804_24425575,bbb_us_business,BBB complainant,2026-01-21,1,negative,"Sales and Advertising Issues. On 10/9/25 bought a car from America's Auto Auction St. Louis . I have been trying to retrieve the title. When I checked online, it told me that my title is at the auction, but when I went to pick it up, it was not there. When I spoke to Angel REMOVED manager) she tells me that they cannot get the title because it has a lein on it and that I need to speak with the General manager ( REMOVED ). When I stated to her that the car should not have been sold without a clean title and that I have spent $2300 in parts and labor for the car, she then tells me that I should have never started working on it until I had the title in my hand, as if I was to blame. Now I am getting the run around from Angel REMOVED manager) who now keeps avoiding my calls. At this point, I don't beleive that she has been relaying my messages to the General manager because no one has reached out to me to have this issue resolved. Customer Answer Date: 02/13/2026 This complaint was resolved by the business.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000074,bbb.org,BBB Complaints,http://www.bbb.org/us/il/centreville/profile/auto-auction/americas-auto-auction-0734-310446804/complaints#0734_310446804_24425575,bbb_us_business,BBB complainant,2026-01-21,1,negative,"Sales and Advertising Issues complaint (Resolved). On 10/9/25 bought a car from America's Auto Auction St. Louis . I have been trying to retrieve the title. When I checked online, it told me that my title is at the auction, but when I went to pick it up, it was not there. When I spoke to Angel REMOVED manager) she tells me that they cannot get the title because it has a lein on it and that I need to speak with the General manager (REMOVED). When I stated to her that the car should not have been sold without a clean title and that I have spent $2300 in parts and labor for the car, she then tells me that I should have never started working on it until I had the title in my hand, as if I was to blame. Now I am getting the run around from Angel REMOVED manager) who now keeps avoiding my calls. At this point, I don't beleive that she has been relaying my messages to the General manager because no one has reached out to me to have this issue resolved. #### Customer Answer **Date:**02/13/2026 This complaint was resolved by the business.",Customer Service & Communication,Agent Professionalism & Responsiveness,Rude/Unhelpful Support
rvw-000014,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-2,birdeye_us_profile,BOBBY STONE v.c.,2026-01-17,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000015,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026?page=2#review-2,birdeye_us_profile,BOBBY STONE v.c.,2026-01-17,,positive,Awesome Experience to meet these guys!! Great doing business with the staff!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000075,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-1,birdeye_us_profile,bassheadtahoe,2025-12-04,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000076,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-2,birdeye_us_profile,T Ashford,2025-12-04,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000063,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-1,birdeye_us_profile,bassheadtahoe,2025-11-28,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000064,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-2,birdeye_us_profile,T Ashford,2025-11-28,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000032,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-1,birdeye_us_profile,bassheadtahoe,2025-11-27,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000033,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-2,birdeye_us_profile,T Ashford,2025-11-27,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000016,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-1,birdeye_us_profile,bassheadtahoe,2025-11-18,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000017,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-2,birdeye_us_profile,T Ashford,2025-11-18,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000018,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147?page=2#review-1,birdeye_us_profile,bassheadtahoe,2025-11-18,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000019,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147?page=2#review-2,birdeye_us_profile,T Ashford,2025-11-18,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000020,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701#review-2,birdeye_us_profile,Dmitry M.,2025-11-18,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000021,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701?page=2#review-2,birdeye_us_profile,Dmitry M.,2025-11-18,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000053,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-1,birdeye_us_profile,bassheadtahoe,2025-11-16,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000054,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-2,birdeye_us_profile,T Ashford,2025-11-16,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000055,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701#review-2,birdeye_us_profile,Dmitry M.,2025-11-16,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000077,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147?page=2#review-1,birdeye_us_profile,bassheadtahoe,2025-11-04,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
rvw-000078,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147?page=2#review-2,birdeye_us_profile,T Ashford,2025-11-04,,positive,"I love the atmosphere, no hassle. Workers are friendly and very helpful. It's like one big family with the buyers and sellers. Hassle free and awesome selection of cars.",Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000079,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-st-louis-165330156623701#review-2,birdeye_us_profile,Dmitry M.,2025-11-04,,negative,"That's an A+ service for the car pickup. They printed gate pass, gave me a ride to the car, jumpstarted and moved the car that blocked mine","Vehicle Pickup, Delivery and Scheduling",Pickup Order Management,Gate Pass Assistance
rvw-000042,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166658630045147#review-1,birdeye_us_profile,bassheadtahoe,2025-11-03,,negative,Its was either these people or the tow company that stole my multi thousand dollar audio system out of my car,"Vehicle Pickup, Delivery and Scheduling",Tow and Storage Charges,Tow and Storage Fees
